Total,"11 - Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",21 - Minería,"22 - Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",23 - Construcción,31-33 - Industrias manufactureras,43 - Comercio al por mayor,46 - Comercio al por menor,"48-49 - Transportes, correos y almacenamiento",51 - Información en medios masivos,52 - Servicios financieros y de seguros,53 - Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,"54 - Servicios profesionales, científicos y técnicos",55 - Corporativos,"56 - Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",61 - Servicios educativos,62 - Servicios de salud y de asistencia social,"71 - Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",72 - Servicios de alojamiento temporal y de preparación de alimentos y bebidas,81 - Otros servicios excepto actividades gubernamentales,"93 - Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
491417.04,64515.30,0.33,,305.95,421425.93,,1.57,0.01,0.01,,0.34,0.10,,,279.89,65.11,6.78,4796.79,0.00,18.94
706039.54,624.99,4244.30,6305.18,27101.50,667707.23,,6.00,,,,0.06,0.05,,,1.23,17.72,,8.16,,23.12
335744.41,13146.86,16565.58,22978.58,6579.47,150726.11,8158.36,33047.31,6982.67,3438.97,2872.64,7550.42,5553.02,2293.84,5329.24,11475.17,7870.31,2008.98,9060.03,4954.32,15152.53
191187.09,10.29,6722.16,5194.24,130969.74,8960.10,1648.10,1474.52,4942.28,385.34,2058.55,7261.99,1588.56,418.87,584.96,3660.76,4324.98,801.09,3489.64,1202.90,5488.02
2652204.52,103315.75,68307.63,82747.56,280393.17,1535817.17,42040.25,58511.36,209862.17,11719.49,9484.98,15859.39,11723.14,4943.77,14419.00,7108.04,62920.94,3159.74,59694.28,36756.81,33419.88
943037.56,35168.30,19593.79,13880.24,89990.25,635115.87,14222.60,11702.39,35073.64,5147.65,2499.04,5692.76,3453.04,2516.19,4466.24,3420.56,23872.78,1485.40,15837.18,9715.96,10183.70
197476.71,8028.73,3862.68,3015.59,20818.45,133513.76,2217.76,2755.34,6760.60,925.48,331.91,1144.58,705.89,456.51,963.66,565.68,3803.09,286.58,3804.84,2171.47,1344.13
380729.85,5802.85,8064.77,4189.50,25918.87,161805.80,30938.59,22097.90,60626.03,7822.05,7664.26,5898.25,5528.44,2730.27,5285.65,3959.02,5648.28,810.68,3003.76,3778.64,9156.25
226178.43,449.21,2346.81,1029.21,23343.77,51491.49,11186.02,12290.84,11634.98,24022.14,9724.92,13844.50,11410.71,1293.05,5210.36,6687.28,5200.51,1336.87,2915.35,4465.19,26295.21
223207.19,2740.59,3204.05,2376.66,23191.94,32759.92,15820.00,9881.69,3628.34,7073.36,58471.16,15537.96,4074.85,16603.40,1940.68,1932.15,2526.38,1585.15,4549.37,475.53,14834.04
377815.71,784.48,19213.94,670.79,20981.06,67680.07,21579.75,43898.76,22385.64,27203.07,23012.14,40015.15,19584.99,1342.41,5755.08,5153.43,8118.06,5953.55,7641.13,19954.49,16887.72
366718.33,721.53,28545.26,3382.62,22330.60,80384.70,10777.28,9664.59,9222.85,13817.55,67438.28,19543.58,8556.87,4732.55,12052.48,6657.95,10915.85,3730.31,6100.11,4384.05,43759.32
145502.11,0.46,15692.63,183.54,111.43,22112.52,48720.77,17957.31,5796.17,8483.31,12569.54,934.85,892.60,514.45,6246.86,45.03,300.21,415.18,4297.02,43.65,184.61
632437.99,1047.01,18580.53,3982.66,15970.67,203845.48,43855.70,69994.31,47476.37,27406.28,74137.61,9511.95,24018.55,4381.23,13747.21,8598.60,14739.04,9340.15,21063.19,5826.97,14914.48
5495.05,,0.81,,0.52,438.72,56.50,9.14,0.02,0.30,238.86,2.32,110.07,,0.08,1407.33,179.45,15.63,0.56,12.63,3022.11
5499.46,,,,0.41,140.07,,0.32,,,,0.01,0.98,,,0.00,5355.27,0.03,1.48,0.90,
6728.01,,,,30.50,0.77,10.02,15.41,,2140.89,,12.28,1.17,,0.02,0.02,71.48,541.00,2221.55,623.69,1059.23
84122.61,133.53,2343.54,235.31,5475.22,15324.40,3334.76,2793.37,18975.11,5931.40,2391.38,1405.24,4045.49,751.58,2774.53,2117.27,2415.21,588.92,548.72,1403.79,11133.86
118639.91,863.55,6810.31,1382.55,13548.70,24982.70,3996.98,3257.70,24421.59,3209.44,4102.98,3818.96,3416.11,203.75,1300.14,1301.93,4000.36,898.92,1713.04,2158.01,13252.19
1503.53,,,,,,,,,,1503.53,,,,,,,,,,
