id,clee,codigo_act,nombre_act,per_ocu,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,latitud,longitud,actividad
6166438,02001112512000216000000000U7,112512,"Piscicultura y otra acuicultura, excepto camaronicultura",251 y más personas,22760,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.860846,-116.59454,11
6726612,02001431130000216011038338M2,115119,Otros servicios relacionados con la agricultura,251 y más personas,22790,2,BAJA CALIFORNIA,1,Ensenada,139,Rodolfo Sánchez Taboada (Maneadero),31.724861,-116.5796,11
9338118,02001115119000156000000000U6,115119,Otros servicios relacionados con la agricultura,251 y más personas,,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.87668,-116.62714,11
8251170,02001114112000103000000000U4,114112,Pesca de túnidos,251 y más personas,22760,2,BAJA CALIFORNIA,1,Ensenada,247,El Sauzal de Rodríguez,31.89959,-116.69997,11
6166336,02002114119000086000000000U4,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",251 y más personas,21739,2,BAJA CALIFORNIA,2,Mexicali,284,San Felipe,31.023849,-114.8382,11
6508253,02001222111000063010013366M1,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.869541,-116.62325,22
6508254,02002222111000154010013367M6,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,21270,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.639542,-115.43605,22
6508256,02004222111000037010013369M9,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,22430,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.509567,-116.97504,22
94348,02001221110000037000041181S8,221121,Transmisión de energía eléctrica,251 y más personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.875837,-116.6201,22
6508253,02001222111000063010013366M1,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.869541,-116.62325,22
6508254,02002222111000154010013367M6,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,21270,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.639542,-115.43605,22
6508256,02004222111000037010013369M9,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,22430,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.509567,-116.97504,22
94348,02001221110000037000041181S8,221121,Transmisión de energía eléctrica,251 y más personas,22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.875837,-116.6201,22
6695346,02004236221000791011040472M2,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,22020,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.512459,-117.01257,23
9277515,02004237212000567000000000U4,237212,Construcción de obras de urbanización,251 y más personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.523422,-117.03176,23
6142641,02004236221000706001000000U0,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",251 y más personas,22105,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.503498,-116.96732,23
6142447,02004237212000287000000000U9,237991,Construcción de presas y represas,251 y más personas,22226,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.501026,-116.95215,23
6148375,02002236221000516011000000U7,237212,Construcción de obras de urbanización,251 y más personas,21259,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.667412,-115.45321,23
6694929,02002237131000097000000000U8,237131,Construcción de obras de generación y conducción de energía eléctrica,251 y más personas,21705,2,BAJA CALIFORNIA,2,Mexicali,195,Ejido Miguel Hidalgo,32.419285,-115.232,23
119130,02004236211000361010000000U8,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.521011,-117.00784,23
6508421,02004236112000117000000000U1,236112,Edificación de vivienda multifamiliar,251 y más personas,,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.405968,-116.94328,23
6142708,02004236211000295001000000U5,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,22644,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.453533,-116.97714,23
6859622,02002237999000147010000000U1,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,21100,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.659519,-115.47662,23
6142478,02002236211000156001000000U3,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,21230,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.648991,-115.45163,23
6142495,02001236112000014001000000U6,236111,Edificación de vivienda unifamiliar,251 y más personas,22880,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.856997,-116.58161,23
6142482,02002236111000567000025873M3,236111,Edificación de vivienda unifamiliar,251 y más personas,21000,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.648376,-115.47151,23
79648,02002236111000761001016075M2,236111,Edificación de vivienda unifamiliar,251 y más personas,21395,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.613987,-115.37267,23
6885355,02002434219000253011000000U1,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,21600,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.585224,-115.34878,23
6142492,02004237212000276011000000U2,237212,Construcción de obras de urbanización,251 y más personas,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.536873,-117.0247,23
6236872,02002311811000027000002859S1,311811,Panificación industrial,251 y más personas,21376,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.62122,-115.40327,31-33
6231075,02004311811000027000002859S7,311811,Panificación industrial,251 y más personas,22643,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.458988,-116.98622,31-33
6865334,02001311110000041001021086S1,311110,Elaboración de alimentos para animales,251 y más personas,22917,2,BAJA CALIFORNIA,1,Ensenada,657,Rancho Viejo,31.594999,-115.86861,31-33
6709361,02004315229001152001000000U3,315229,Confección en serie de otra ropa exterior de materiales textiles,251 y más personas,22216,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.496861,-116.91576,31-33
6752614,02004315225001614001000000U0,315225,Confección de prendas de vestir sobre medida,251 y más personas,22195,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.496365,-116.9566,31-33
80221,02002311910000231001007454S9,311910,Elaboración de botanas,251 y más personas,21382,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.578499,-115.40685,31-33
6230862,02002312111000017001008191S6,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,21395,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.62328,-115.40559,31-33
6283940,02004312111000027000000227M1,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,22244,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.450298,-116.86998,31-33
6850332,02002312120000047000000000U4,312120,Elaboración de cerveza,251 y más personas,,2,BAJA CALIFORNIA,2,Mexicali,2653,Familia Rubio García (Colonia Colorado Número Siete),32.517059,-115.40234,31-33
6284734,02004314999000036001000000U8,314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte,251 y más personas,22444,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.537155,-116.91648,31-33
6283630,02001315229000747000000000U7,315229,Confección en serie de otra ropa exterior de materiales textiles,251 y más personas,22785,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.776363,-116.58054,31-33
6375678,02004311340000067000000000U3,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",251 y más personas,22215,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.49366,-116.911,31-33
6419106,02001315229001181001000000U8,315229,Confección en serie de otra ropa exterior de materiales textiles,251 y más personas,22880,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.853228,-116.58909,31-33
6283818,02002311411000017000000289M1,311411,Congelación de frutas y verduras,251 y más personas,21376,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.618717,-115.39944,31-33
6283505,02002311213000016001000548M3,311213,Elaboración de harina de maíz,251 y más personas,21620,2,BAJA CALIFORNIA,2,Mexicali,5015,Harinera de Maíz de Mexicali,32.549374,-115.36299,31-33
8813164,02001311993000037000000000U8,311993,Elaboración de alimentos frescos para consumo inmediato,251 y más personas,22910,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.871153,-116.61214,31-33
6715036,02004315225001524001000000U1,315225,Confección de prendas de vestir sobre medida,251 y más personas,22185,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.484943,-117.04808,31-33
6775319,02002311422000035001024065M0,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,21395,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.596462,-115.36567,31-33
96472,02001315229000873001000000U1,315229,Confección en serie de otra ropa exterior de materiales textiles,251 y más personas,22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada,31.86702,-116.613,31-33
6283199,02002313320000026000000592M3,313320,Fabricación de telas recubiertas,251 y más personas,21397,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.598507,-115.42094,31-33
6375701,02002315223000226000000000U3,315223,Confección en serie de uniformes,251 y más personas,21383,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.570606,-115.41465,31-33
6697353,02004311830004071011021579S1,311910,Elaboración de botanas,251 y más personas,22203,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.532043,-116.90073,31-33
6283834,02004311820000027000000220M8,311820,Elaboración de galletas y pastas para sopa,251 y más personas,22105,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.508827,-116.98243,31-33
6810092,02004313310000056001000000U7,313310,Acabado de productos textiles,251 y más personas,22224,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.453766,-116.87076,31-33
6284205,02004311511000277000000437M4,311511,Elaboración de leche líquida,251 y más personas,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.535442,-117.05148,31-33
156461,02004314120000046001000000U0,314120,"Confección de cortinas, blancos y similares",251 y más personas,22444,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.516186,-116.85359,31-33
6399384,27004312111000047100003816S0,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,22405,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.531433,-116.99441,31-33
6778522,02002311910000245000002570S9,311910,Elaboración de botanas,251 y más personas,21395,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali,32.583111,-115.37518,31-33
6375722,02004315229000727000000000U3,315229,Confección en serie de otra ropa exterior de materiales textiles,251 y más personas,22643,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.453403,-116.97821,31-33
6802600,02004334519000197010038350M0,315223,Confección en serie de uniformes,251 y más personas,22115,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana,32.494999,-116.95765,31-33
6274395,02002311611000037000010620S4,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,21326,2,BAJA CALIFORNIA,2,Mexicali,2408,Familia Meza (Colonia Sonora),32.599289,-115.64555,31-33
