id,clee,codigo_act,nombre_act,per_ocu,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,latitud,longitud,actividad
6184176,30151114119000907010000000U2,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",251 y más personas,92560,30,VERACRUZ DE IGNACIO DE LA LLAVE,151,Tamiahua,1,Tamiahua,21.273035,-97.44503,11
6184178,30151114119000887000000000U6,114119,"Pesca y captura de peces, crustáceos, moluscos y otras especies",251 y más personas,92560,30,VERACRUZ DE IGNACIO DE LA LLAVE,151,Tamiahua,1,Tamiahua,21.278759,-97.446045,11
8241997,30105221112000017000041184M1,221111,Generación de electricidad a partir de combustibles fósiles,251 y más personas,94271,30,VERACRUZ DE IGNACIO DE LA LLAVE,105,Medellín,19,Dos Bocas [Termoeléctrica],19.083933,-96.144882,22
4466269,30039221110000071000000000U3,221111,Generación de electricidad a partir de combustibles fósiles,251 y más personas,96400,30,VERACRUZ DE IGNACIO DE LA LLAVE,39,Coatzacoalcos,1,Coatzacoalcos,18.144087,-94.424393,22
6515444,30108222111000047010015724M3,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,96760,30,VERACRUZ DE IGNACIO DE LA LLAVE,108,Minatitlán,1,Minatitlán,17.992996,-94.577728,22
6934970,30123221122000017000004691S3,221123,Comercialización de energía eléctrica,251 y más personas,93990,30,VERACRUZ DE IGNACIO DE LA LLAVE,123,Pánuco,1,Pánuco,22.055767,-98.176743,22
9014743,30087221312000117000041328M5,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,91140,30,VERACRUZ DE IGNACIO DE LA LLAVE,87,Xalapa,1,Xalapa-Enríquez,19.546816,-96.916405,22
6515395,30039222111000047010015718M0,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,96400,30,VERACRUZ DE IGNACIO DE LA LLAVE,39,Coatzacoalcos,1,Coatzacoalcos,18.148779,-94.42585,22
6515398,30044222111000037010015719M1,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,94570,30,VERACRUZ DE IGNACIO DE LA LLAVE,44,Córdoba,1,Córdoba,18.890535,-96.946823,22
4314554,30193222111000117000000000U6,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,91910,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,Veracruz,1,Veracruz,19.174063,-96.123405,22
6515326,30193222111000137010015738M4,221311,"Captación, tratamiento y suministro de agua realizados por el sector privado",251 y más personas,91918,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,Veracruz,1,Veracruz,19.173277,-96.124405,22
9249219,30009221119000013000000000U9,221119,Generación de electricidad a partir de otro tipo de energía,251 y más personas,91476,30,VERACRUZ DE IGNACIO DE LA LLAVE,9,Alto Lucero de Gutiérrez Barrios,173,El Arroyito,19.721746,-96.419945,22
8241997,30105221112000017000041184M1,221111,Generación de electricidad a partir de combustibles fósiles,251 y más personas,94271,30,VERACRUZ DE IGNACIO DE LA LLAVE,105,Medellín,19,Dos Bocas [Termoeléctrica],19.083933,-96.144882,22
4466269,30039221110000071000000000U3,221111,Generación de electricidad a partir de combustibles fósiles,251 y más personas,96400,30,VERACRUZ DE IGNACIO DE LA LLAVE,39,Coatzacoalcos,1,Coatzacoalcos,18.144087,-94.424393,22
6515444,30108222111000047010015724M3,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,96760,30,VERACRUZ DE IGNACIO DE LA LLAVE,108,Minatitlán,1,Minatitlán,17.992996,-94.577728,22
6934970,30123221122000017000004691S3,221123,Comercialización de energía eléctrica,251 y más personas,93990,30,VERACRUZ DE IGNACIO DE LA LLAVE,123,Pánuco,1,Pánuco,22.055767,-98.176743,22
9014743,30087221312000117000041328M5,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,91140,30,VERACRUZ DE IGNACIO DE LA LLAVE,87,Xalapa,1,Xalapa-Enríquez,19.546816,-96.916405,22
6515395,30039222111000047010015718M0,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,96400,30,VERACRUZ DE IGNACIO DE LA LLAVE,39,Coatzacoalcos,1,Coatzacoalcos,18.148779,-94.42585,22
6515398,30044222111000037010015719M1,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,94570,30,VERACRUZ DE IGNACIO DE LA LLAVE,44,Córdoba,1,Córdoba,18.890535,-96.946823,22
4314554,30193222111000117000000000U6,221312,"Captación, tratamiento y suministro de agua realizados por el sector público",251 y más personas,91910,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,Veracruz,1,Veracruz,19.174063,-96.123405,22
6515326,30193222111000137010015738M4,221311,"Captación, tratamiento y suministro de agua realizados por el sector privado",251 y más personas,91918,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,Veracruz,1,Veracruz,19.173277,-96.124405,22
9249219,30009221119000013000000000U9,221119,Generación de electricidad a partir de otro tipo de energía,251 y más personas,91476,30,VERACRUZ DE IGNACIO DE LA LLAVE,9,Alto Lucero de Gutiérrez Barrios,173,El Arroyito,19.721746,-96.419945,22
6151633,30193236221000174001000000U8,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",251 y más personas,91910,30,VERACRUZ DE IGNACIO DE LA LLAVE,193,Veracruz,1,Veracruz,19.18894,-96.124641,23
9317940,30087237111000181000000000U8,237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",251 y más personas,91180,30,VERACRUZ DE IGNACIO DE LA LLAVE,87,Xalapa,1,Xalapa-Enríquez,19.534616,-96.908134,23
6793793,30048237121000015000000000U0,237121,Construcción de sistemas de distribución de petróleo y gas,251 y más personas,96340,30,VERACRUZ DE IGNACIO DE LA LLAVE,48,Cosoleacaque,73,Minatitlán,17.995888,-94.588326,23
6148557,30028237312000077010000000U7,237212,Construcción de obras de urbanización,251 y más personas,94298,30,VERACRUZ DE IGNACIO DE LA LLAVE,28,Boca del Río,37,Veracruz,19.146009,-96.10569,23
4466386,30039611111000592010000000U4,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,96400,30,VERACRUZ DE IGNACIO DE LA LLAVE,39,Coatzacoalcos,1,Coatzacoalcos,18.149914,-94.417709,23
6515818,30087236111000457000017960M4,236111,Edificación de vivienda unifamiliar,251 y más personas,91194,30,VERACRUZ DE IGNACIO DE LA LLAVE,87,Xalapa,1,Xalapa-Enríquez,19.515026,-96.85984,23
6462469,30118236211000051001000000U6,236211,"Edificación de naves y plantas industriales, excepto la supervisión",251 y más personas,94300,30,VERACRUZ DE IGNACIO DE LA LLAVE,118,Orizaba,1,Orizaba,18.84358,-97.109077,23
6515909,30131237121000037000000000U8,237312,"Construcción de carreteras, puentes y similares",251 y más personas,93230,30,VERACRUZ DE IGNACIO DE LA LLAVE,131,Poza Rica de Hidalgo,1,Poza Rica de Hidalgo,20.540133,-97.442886,23
6515906,30039236111000356010000000U9,236112,Edificación de vivienda multifamiliar,251 y más personas,96518,30,VERACRUZ DE IGNACIO DE LA LLAVE,39,Coatzacoalcos,1,Coatzacoalcos,18.147938,-94.459648,23
9276377,30087238210000231000000000U9,238210,Instalaciones eléctricas en construcciones,251 y más personas,91190,30,VERACRUZ DE IGNACIO DE LA LLAVE,87,Xalapa,1,Xalapa-Enríquez,19.526999,-96.894402,23
