source,target,link
11,11,0
11,21,0
11,22,0
11,23,0
11,31-33,1
11,43,0
11,46,0
11,48-49,0
11,51,0
11,52,0
11,53,0
11,54,0
11,55,0
11,56,0
11,61,0
11,62,0
11,71,0
11,72,0
11,81,0
11,93,0
21,11,0
21,21,0
21,22,0
21,23,0
21,31-33,0
21,43,0
21,46,0
21,48-49,0
21,51,0
21,52,0
21,53,0
21,54,0
21,55,0
21,56,0
21,61,0
21,62,0
21,71,0
21,72,0
21,81,0
21,93,0
22,11,0
22,21,0
22,22,0
22,23,0
22,31-33,0
22,43,0
22,46,1
22,48-49,0
22,51,0
22,52,0
22,53,0
22,54,0
22,55,0
22,56,0
22,61,0
22,62,0
22,71,0
22,72,0
22,81,0
22,93,0
23,11,0
23,21,0
23,22,0
23,23,0
23,31-33,0
23,43,0
23,46,0
23,48-49,0
23,51,0
23,52,0
23,53,0
23,54,0
23,55,0
23,56,0
23,61,0
23,62,0
23,71,0
23,72,0
23,81,0
23,93,0
31-33,11,0
31-33,21,0
31-33,22,0
31-33,23,0
31-33,31-33,0
31-33,43,0
31-33,46,0
31-33,48-49,0
31-33,51,0
31-33,52,0
31-33,53,0
31-33,54,0
31-33,55,0
31-33,56,0
31-33,61,0
31-33,62,0
31-33,71,0
31-33,72,0
31-33,81,0
31-33,93,0
43,11,0
43,21,0
43,22,0
43,23,0
43,31-33,0
43,43,0
43,46,0
43,48-49,0
43,51,0
43,52,0
43,53,0
43,54,0
43,55,0
43,56,0
43,61,0
43,62,0
43,71,0
43,72,0
43,81,0
43,93,0
46,11,0
46,21,0
46,22,0
46,23,0
46,31-33,0
46,43,0
46,46,0
46,48-49,0
46,51,0
46,52,0
46,53,0
46,54,0
46,55,0
46,56,0
46,61,0
46,62,0
46,71,0
46,72,0
46,81,0
46,93,0
48-49,11,0
48-49,21,0
48-49,22,0
48-49,23,0
48-49,31-33,0
48-49,43,0
48-49,46,0
48-49,48-49,0
48-49,51,0
48-49,52,0
48-49,53,0
48-49,54,0
48-49,55,0
48-49,56,0
48-49,61,0
48-49,62,0
48-49,71,0
48-49,72,0
48-49,81,0
48-49,93,0
51,11,0
51,21,0
51,22,0
51,23,0
51,31-33,0
51,43,0
51,46,0
51,48-49,0
51,51,0
51,52,0
51,53,1
51,54,0
51,55,0
51,56,0
51,61,0
51,62,0
51,71,0
51,72,0
51,81,0
51,93,0
52,11,0
52,21,0
52,22,0
52,23,0
52,31-33,0
52,43,0
52,46,0
52,48-49,0
52,51,0
52,52,0
52,53,0
52,54,0
52,55,1
52,56,0
52,61,0
52,62,0
52,71,0
52,72,0
52,81,0
52,93,0
53,11,0
53,21,0
53,22,0
53,23,0
53,31-33,0
53,43,0
53,46,0
53,48-49,0
53,51,0
53,52,0
53,53,0
53,54,1
53,55,0
53,56,0
53,61,0
53,62,0
53,71,0
53,72,0
53,81,0
53,93,0
54,11,0
54,21,0
54,22,0
54,23,0
54,31-33,0
54,43,0
54,46,0
54,48-49,0
54,51,0
54,52,0
54,53,0
54,54,0
54,55,0
54,56,1
54,61,0
54,62,0
54,71,0
54,72,0
54,81,0
54,93,0
55,11,0
55,21,0
55,22,0
55,23,0
55,31-33,0
55,43,0
55,46,0
55,48-49,0
55,51,0
55,52,0
55,53,0
55,54,0
55,55,0
55,56,1
55,61,0
55,62,0
55,71,0
55,72,1
55,81,0
55,93,0
56,11,0
56,21,0
56,22,0
56,23,0
56,31-33,0
56,43,0
56,46,0
56,48-49,0
56,51,0
56,52,0
56,53,0
56,54,0
56,55,0
56,56,0
56,61,0
56,62,0
56,71,0
56,72,1
56,81,0
56,93,0
61,11,0
61,21,0
61,22,0
61,23,0
61,31-33,0
61,43,0
61,46,0
61,48-49,0
61,51,0
61,52,0
61,53,0
61,54,0
61,55,0
61,56,0
61,61,0
61,62,0
61,71,0
61,72,0
61,81,0
61,93,0
62,11,0
62,21,0
62,22,0
62,23,0
62,31-33,0
62,43,0
62,46,0
62,48-49,0
62,51,0
62,52,0
62,53,0
62,54,0
62,55,0
62,56,0
62,61,0
62,62,0
62,71,0
62,72,0
62,81,0
62,93,0
71,11,0
71,21,0
71,22,0
71,23,0
71,31-33,0
71,43,0
71,46,0
71,48-49,0
71,51,0
71,52,0
71,53,0
71,54,0
71,55,0
71,56,0
71,61,0
71,62,0
71,71,0
71,72,0
71,81,1
71,93,0
72,11,0
72,21,0
72,22,0
72,23,0
72,31-33,0
72,43,0
72,46,0
72,48-49,0
72,51,0
72,52,0
72,53,0
72,54,0
72,55,0
72,56,0
72,61,0
72,62,0
72,71,0
72,72,0
72,81,0
72,93,0
81,11,0
81,21,0
81,22,0
81,23,0
81,31-33,0
81,43,0
81,46,0
81,48-49,0
81,51,0
81,52,0
81,53,0
81,54,0
81,55,0
81,56,0
81,61,0
81,62,0
81,71,0
81,72,0
81,81,0
81,93,0
93,11,0
93,21,0
93,22,0
93,23,0
93,31-33,0
93,43,0
93,46,0
93,48-49,0
93,51,0
93,52,0
93,53,0
93,54,0
93,55,0
93,56,0
93,61,0
93,62,0
93,71,0
93,72,0
93,81,0
93,93,0
